token,std2y,returns2y,beta2y
ADA,5.9,176.9,1.02
BNB,6.11,845.7,1.05
BTC,3.78,19.2,1
DOGE,15.78,2744,1.32
DOT,6.4,13,1.2
ETH,5,210.7,1.1
MATIC,8.68,6437,1.35
SHIB,20.36,313,1.36
SOL,7.46,886.4,1.08
XRP,6.49,46.6,1.04
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
