date,token,price,marketCap,total,share,z,x,c,v,b,n,m
2017-01-01,ADA,0,0,22.29716332,0,0,0,970.4030151,10.72749996,0,0.006314,22.29716332
2017-02-01,ADA,0,0,27.23103333,0,0,0,1179.969971,15.81719971,0,0.005536,27.23103333
2017-03-01,ADA,0,0,30.60096674,0,0,0,1071.790039,50.03730011,0,0.020888999,30.60096674
2017-04-01,ADA,0,0,42.94893472,0,0,0,1347.890015,79.02120209,0,0.051607002,42.94893472
2017-05-01,ADA,0,0,100.3538893,0,0,0,2286.409912,230.6690063,0,0.246590003,100.3538893
2017-06-01,ADA,0,0,113.7805606,0,0,0,2480.840088,294.9159851,0,0.262930006,113.7805606
2017-07-01,ADA,0,0,101.5852616,0,0,0,2875.340088,203.8710022,0,0.167385995,101.5852616
2017-08-01,ADA,0,0,170.7399886,0,0,2.203789949,4703.390137,383.0419922,0,0.255629987,170.7399886
2017-09-01,ADA,0,0,147.298325,0,0,1.283579946,4338.709961,301.4649963,0,0.197529003,147.298325
2017-10-01,ADA,0.030437,1.369665,194.2299214,0.007051771,0.030437,1.312890053,6468.399902,305.8789978,0,0.200558007,194.2299214
2017-11-01,ADA,0.119883001,5.394735045,299.4412031,0.018016008,0.119883001,1.996970057,10233.59961,447.1140137,0,0.250878006,299.4412031
2017-12-01,ADA,0.719694972,32.38627374,652.2627556,0.049652189,0.719694972,8.635580063,14156.40039,756.7329712,0,2.300570011,652.2627556
2018-01-01,ADA,0.519315004,23.36917518,490.6774735,0.047626346,0.519315004,11.14500046,10221.09961,1118.310059,0,1.162389994,490.6774735
2018-02-01,ADA,0.312581003,14.06614514,427.591868,0.032896194,0.312581003,10.4382,10397.90039,855.1989746,0,0.904582977,427.591868
2018-03-01,ADA,0.155919001,7.016355045,254.4818008,0.027571147,0.155919001,11.05589962,6973.529785,396.4570007,0,0.512353003,254.4818008
2018-04-01,ADA,0.343317986,15.44930937,376.5479577,0.041028796,0.343317986,14.31210041,9240.549805,669.9240112,0,0.837938011,376.5479577
2018-05-01,ADA,0.225214005,10.13463023,300.9298431,0.033677717,0.225214005,14.19019985,7494.169922,577.6450195,0,0.612622023,300.9298431
2018-06-01,ADA,0.137670994,6.19519473,244.8567534,0.025301302,0.137670994,14.6573,6404,455.1799927,0,0.466244996,244.8567534
2018-07-01,ADA,0.143297002,6.44836509,268.1792254,0.024044984,0.143297002,13.77540016,7780.439941,433.8670044,0,0.43522501,268.1792254
2018-08-01,ADA,0.102196001,4.598820045,222.084442,0.020707529,0.102196001,11.01379967,7037.580078,283.0039978,0,0.335332006,222.084442
2018-09-01,ADA,0.085194997,3.833774865,231.0730567,0.016591181,0.085194997,10.01780033,6625.560059,232.8480072,0,0.581571996,231.0730567
2018-10-01,ADA,0.069705002,3.13672509,206.2081725,0.015211449,0.069705002,9.364959717,6317.609863,197.3809967,0.008824,0.44838199,206.2081725
2018-11-01,ADA,0.038915999,1.751219955,136.9573973,0.012786604,0.038915999,5.078571796,4017.268555,113.1714172,0.003269,0.36245501,136.9573973
2018-12-01,ADA,0.041063,1.847835,132.9529369,0.013898414,0.041063,6.164731979,3742.700439,133.3682556,0.001226,0.352705985,132.9529369
2019-01-01,ADA,0.038373999,1.726829955,119.4459947,0.014456993,0.038373999,6.268435955,3457.792725,107.0610123,0.001695,0.310036004,119.4459947
2019-02-01,ADA,0.043122999,1.940534955,132.8824696,0.014603393,0.043122999,10.36517811,3854.7854,136.7462463,0.001972,0.31507799,132.8824696
2019-03-01,ADA,0.069746003,3.138570135,140.7381486,0.022300777,0.069746003,17.40167046,4105.404297,141.5140991,0.002171,0.309228987,140.7381486
2019-04-01,ADA,0.070345998,3.16556991,170.3641807,0.018581194,0.070345998,22.12783623,5350.726563,162.1660309,0.000491,0.309475988,170.3641807
2019-05-01,ADA,0.089441001,4.024845045,266.6703505,0.01509296,0.089441001,32.74816513,8574.501953,268.1135559,0.000571,0.438573986,266.6703505
2019-06-01,ADA,0.082098,3.69441,311.8680914,0.011846066,0.082098,32.44248199,10817.15527,290.6959839,0.000571,0.396411002,311.8680914
2019-07-01,ADA,0.060152002,2.70684009,278.3636409,0.009724115,0.060152002,27.64455795,10085.62793,218.6541443,0.000571,0.320908993,278.3636409
2019-08-01,ADA,0.044989999,2.024549955,255.1387589,0.007935094,0.044989999,21.26591492,9630.664063,172.4697876,0.000571,0.259204,255.1387589
2019-09-01,ADA,0.038885001,1.749825045,226.2718611,0.007733286,0.038885001,15.86267471,8293.868164,179.8722076,0.000571,0.255932987,226.2718611
2019-10-01,ADA,0.041636001,1.873620045,250.777086,0.007471257,0.041636001,20.0002327,9199.584961,183.9669189,0.000571,0.296357989,250.777086
2019-11-01,ADA,0.040424999,1.819124955,204.8770115,0.008879107,0.040424999,15.71595097,7569.629883,152.5396881,0.000571,0.226474002,204.8770115
2019-12-01,ADA,0.032845002,1.47802509,190.1321434,0.007773673,0.032845002,13.72764206,7193.599121,129.6108551,0.000571,0.192893997,190.1321434
2020-01-01,ADA,0.053792998,2.42068491,247.9668229,0.009762132,0.053792998,18.21097946,9350.529297,180.1601715,0.000571,0.239233002,247.9668229
2020-02-01,ADA,0.047541,2.139345,236.1472758,0.009059368,0.047541,19.58409119,8599.508789,219.8485107,0.000571,0.231193006,236.1472758
2020-03-01,ADA,0.030553,1.374885,172.590576,0.007966165,0.030553,12.58160591,6438.644531,133.5935669,0.000571,0.174563006,172.590576
2020-04-01,ADA,0.047846001,2.153070045,233.9482393,0.00920319,0.047846001,17.0339756,8658.553711,207.6020508,0.691044986,0.212761,233.9482393
2020-05-01,ADA,0.074352004,3.34584018,253.7493815,0.013185609,0.074352004,17.04047203,9461.058594,230.975708,0.570021987,0.202905998,253.7493815
2020-06-01,ADA,0.083116002,3.74022009,243.9266037,0.015333383,0.083116002,15.41358185,9137.993164,226.3150024,0.860094011,0.175870001,243.9266037
2020-07-01,ADA,0.138797998,6.24590991,316.3537651,0.019743435,0.138797998,20.66814613,11323.4668,345.554657,1.538177967,0.25890401,316.3537651
2020-08-01,ADA,0.122688003,5.520960135,338.4061422,0.016314598,0.122688003,23.19305038,11680.82031,435.0797424,4.782045841,0.281765997,338.4061422
2020-09-01,ADA,0.101062,4.54779,305.8044868,0.014871561,0.101062,29.29087639,10784.49121,359.9378662,2.897876024,0.241784006,305.8044868
2020-10-01,ADA,0.093056001,4.187520045,370.4657148,0.011303394,0.093056001,28.43121529,13780.99512,386.590332,1.540699959,0.239743993,370.4657148
