Date,GOLD,SPX
20/05/2020,1776.000732,2971.610107
21/05/2020,1748.476196,2948.51001
22/05/2020,1745.83728,2955.449951
23/05/2020,1742.186279,
24/05/2020,1734.583984,
25/05/2020,1727.144897,
26/05/2020,1719.286743,2991.77002
27/05/2020,1712.977417,3036.129883
28/05/2020,1737.748413,3029.72998
29/05/2020,1746.740234,3044.310059
30/05/2020,1738.202148,
31/05/2020,1749.810059,
01/06/2020,1735.578003,3055.72998
02/06/2020,1726.568604,3080.820068
03/06/2020,1701.725464,3122.870117
04/06/2020,1719.589355,3112.350098
05/06/2020,1703.393433,3193.929932
06/06/2020,1689.400269,
07/06/2020,1687.186401,
08/06/2020,1697.67981,3232.389893
09/06/2020,1717.29187,3207.179932
10/06/2020,1733.497803,3190.139893
11/06/2020,1722.068481,3002.100098
12/06/2020,1704.484863,3041.310059
13/06/2020,1711.333496,
14/06/2020,1715.399536,
15/06/2020,1787.959839,3066.590088
16/06/2020,1793.951782,3124.73999
17/06/2020,1734.546387,3113.48999
18/06/2020,1748.523315,3115.340088
19/06/2020,1784.726929,3097.73999
20/06/2020,1763.038574,
21/06/2020,1775.97168,
22/06/2020,1774.884033,3117.860107
23/06/2020,1766.119141,3131.290039
24/06/2020,1761.791382,3050.330078
25/06/2020,1769.985107,3083.76001
26/06/2020,1774.238403,3009.050049
27/06/2020,1774.192505,
28/06/2020,1812.990479,
29/06/2020,1794.947754,3053.23999
30/06/2020,1790.047485,3100.290039
01/07/2020,1786.105347,3115.860107
02/07/2020,1796.786255,3130.01001
03/07/2020,1789.0177,
04/07/2020,1780.854492,
05/07/2020,1776.290649,
06/07/2020,1795.259033,3179.719971
07/07/2020,1787.267944,3145.320068
08/07/2020,1806.709106,3169.939941
09/07/2020,1783.148804,3152.050049
10/07/2020,1801.598145,3185.040039
11/07/2020,1802.802124,
12/07/2020,1799.757568,
13/07/2020,1811.619629,3155.219971
14/07/2020,1814.885132,3197.52002
15/07/2020,1801.78064,3226.560059
16/07/2020,1806.087402,3215.570068
17/07/2020,1808.631958,3224.72998
18/07/2020,1809.418579,
19/07/2020,1815.486938,
20/07/2020,1816.964722,3251.840088
21/07/2020,1845.795898,3257.300049
22/07/2020,1873.582642,3276.02002
23/07/2020,1885.545166,3235.659912
24/07/2020,1903.240234,3215.629883
25/07/2020,1900.342651,
26/07/2020,1903.148315,
27/07/2020,1956.661743,3239.409912
28/07/2020,1966.05835,3218.439941
29/07/2020,1979.978638,3258.439941
