Date,Open,High,Low,Close
2017-01-01,963.65802,1191.099976,755.7559814,970.4030151
2017-02-01,970.940979,1200.390015,946.690979,1179.969971
2017-03-01,1180.040039,1280.310059,903.7130127,1071.790039
2017-04-01,1071.709961,1347.910034,1061.089966,1347.890015
2017-05-01,1348.300049,2763.709961,1348.300049,2286.409912
2017-06-01,2288.330078,2999.909912,2212.959961,2480.840088
2017-07-01,2492.600098,2916.139893,1843.030029,2875.340088
2017-08-01,2871.300049,4736.049805,2668.590088,4703.390137
2017-09-01,4701.759766,4975.040039,2946.620117,4338.709961
2017-10-01,4341.049805,6470.430176,4164.049805,6468.399902
2017-11-01,6440.970215,11517.40039,5519.009766,10233.59961
2017-12-01,10198.59961,20089,9694.650391,14156.40039
2018-01-01,14112.2002,17712.40039,9402.290039,10221.09961
2018-02-01,10237.2998,11958.5,6048.259766,10397.90039
2018-03-01,10385,11704.09961,6683.930176,6973.529785
2018-04-01,7003.060059,9745.320313,6526.870117,9240.549805
2018-05-01,9251.469727,9964.5,7090.680176,7494.169922
2018-06-01,7500.700195,7754.890137,5826.410156,6404
2018-07-01,6411.680176,8424.269531,6136.419922,7780.439941
2018-08-01,7769.040039,7769.040039,5971.049805,7037.580078
2018-09-01,7044.810059,7388.430176,6197.52002,6625.560059
2018-10-01,6619.850098,6965.060059,6236.470215,6317.609863
2018-11-01,6318.140137,6552.160156,3585.060059,4017.268555
2018-12-01,4024.464355,4309.377441,3191.303467,3742.700439
2019-01-01,3746.713379,4109.020996,3400.819824,3457.792725
2019-02-01,3460.547119,4210.641602,3391.023682,3854.7854
2019-03-01,3853.75708,4296.806641,3733.749756,4105.404297
2019-04-01,4105.362305,5642.044434,4096.901367,5350.726563
2019-05-01,5350.914551,9008.314453,5347.645996,8574.501953
2019-06-01,8573.839844,13796.48926,7564.48877,10817.15527
2019-07-01,10796.93066,13129.5293,9163.134766,10085.62793
2019-08-01,10077.44238,12273.82129,9421.629883,9630.664063
2019-09-01,9630.592773,10898.76172,7830.758789,8293.868164
2019-10-01,8299.720703,10021.74414,7446.98877,9199.584961
2019-11-01,9193.992188,9505.051758,6617.166992,7569.629883
2019-12-01,7571.616211,7743.431641,6540.049316,7193.599121
2020-01-01,7194.89209,9553.125977,6914.996094,9350.529297
2020-02-01,9346.357422,10457.62695,8492.932617,8599.508789
2020-03-01,8599.758789,9167.695313,4106.980957,6438.644531
2020-04-01,6437.319336,9440.650391,6202.373535,8658.553711
2020-05-01,8672.782227,9996.743164,8374.323242,9461.058594
2020-06-01,9463.605469,10199.56543,8975.525391,9137.993164
2020-07-01,9145.985352,11415.86426,8977.015625,11323.4668
2020-08-01,11322.57031,12359.05664,11012.41504,11680.82031
2020-09-01,11679.31641,12067.08105,9916.493164,10784.49121
2020-10-01,10795.25488,14028.21387,10416.68945,13780.99512
2020-11-01,13780.99512,19749.26367,13243.16016,19625.83594
2020-12-01,19633.76953,29244.87695,17619.5332,29001.7207
2021-01-01,28994.00977,41946.73828,28722.75586,33114.35938
2021-02-01,33114.57813,58330.57031,32384.22852,45137.76953
2021-03-01,45159.50391,61683.86328,45115.09375,58918.83203
2021-04-01,58926.5625,64863.09766,47159.48438,57750.17578
2021-05-01,57714.66406,59519.35547,30681.49609,37332.85547
2021-06-01,37293.79297,41295.26953,28893.62109,35040.83594
2021-07-01,35035.98438,42235.54688,29360.95508,41626.19531
2021-08-01,41460.84375,50482.07813,37458.00391,47166.6875
2021-09-01,47099.77344,52853.76563,39787.60938,43790.89453
2021-10-01,43816.74219,66930.39063,43320.02344,61318.95703
2021-11-01,61320.44922,68789.625,53569.76563,57005.42578
2021-12-01,56907.96484,59041.68359,42874.61719,46306.44531
2022-01-01,46311.74609,47881.40625,33184.05859,38483.125
2022-02-01,38481.76563,45661.17188,34459.21875,43193.23438
2022-03-01,43194.50391,48086.83594,37260.20313,45538.67578
2022-04-01,45554.16406,47313.47656,37697.94141,37714.875
2022-05-01,37713.26563,39902.94922,26350.49023,31792.31055
2022-06-01,31792.55469,31957.28516,17708.62305,19784.72656
2022-07-01,19820.4707,24572.58008,18966.95117,23336.89648
2022-08-01,23336.71875,25135.58984,19600.78516,20049.76367
2022-09-01,20050.49805,22673.82031,18290.31445,19431.78906
2022-10-01,19431.10547,20988.39453,18319.82227,20495.77344
2022-11-01,20494.89844,21446.88672,15599.04688,17168.56641
2022-12-01,17168.00195,18318.53125,16398.13672,16551.17969
