Date,BTC,FTT
2022-05-28,28814.90039,27.10719299
2022-05-29,29445.95703,27.26719093
2022-05-30,31726.39063,29.16701126
2022-05-31,31792.31055,28.95060539
2022-06-01,29799.08008,26.90548515
2022-06-02,30467.48828,27.13927078
2022-06-03,29704.39063,25.99463272
2022-06-04,29832.91406,25.97548485
2022-06-05,29906.66211,26.13372993
2022-06-06,31370.67188,27.36559868
2022-06-07,31155.47852,27.06485367
2022-06-08,30214.35547,28.1297226
2022-06-09,30111.99805,28.53532982
2022-06-10,29083.80469,27.5845089
2022-06-11,28360.81055,27.39906311
2022-06-12,26762.64844,28.09258461
2022-06-13,22487.38867,24.44530106
2022-06-14,22206.79297,24.02503395
2022-06-15,22572.83984,25.49200821
2022-06-16,20381.65039,23.262043
2022-06-17,20471.48242,24.35045815
2022-06-18,19017.64258,22.83035469
2022-06-19,20553.27148,25.03437805
2022-06-20,20599.53711,26.70549965
2022-06-21,20710.59766,27.33817673
2022-06-22,19987.0293,25.20549011
2022-06-23,21085.87695,26.3312645
2022-06-24,21231.65625,26.73080444
2022-06-25,21502.33789,27.92702675
2022-06-26,21027.29492,27.15359879
2022-06-27,20735.47852,27.16296005
2022-06-28,20280.63477,25.63458061
2022-06-29,20104.02344,24.82902145
2022-06-30,19784.72656,24.53266144
2022-07-01,19269.36719,24.55630875
2022-07-02,19242.25586,24.62620163
2022-07-03,19297.07617,24.37348175
2022-07-04,20231.26172,25.92241669
2022-07-05,20190.11523,25.19189262
2022-07-06,20548.24609,26.26527214
2022-07-07,21637.58789,27.45919037
2022-07-08,21731.11719,27.46585083
2022-07-09,21592.20703,27.13601494
2022-07-10,20860.44922,25.89983368
2022-07-11,19970.55664,24.99665451
2022-07-12,19323.91406,23.88285637
2022-07-13,20212.07422,24.96725273
2022-07-14,20569.91992,25.85254478
2022-07-15,20836.32813,26.78756142
2022-07-16,21190.31641,27.96962166
2022-07-17,20779.34375,27.60633278
2022-07-18,22485.68945,29.96655655
2022-07-19,23389.43359,29.12787247
2022-07-20,23231.73242,28.78352737
2022-07-21,23164.62891,29.50235558
2022-07-22,22714.97852,28.97725868
2022-07-23,22465.47852,28.53791237
2022-07-24,22609.16406,29.14460754
2022-07-25,21361.70117,27.11045456
2022-07-26,21239.75391,27.02528954
2022-07-27,22930.54883,29.39860153
2022-07-28,23843.88672,30.24714279
2022-07-29,23804.63281,31.13344383
2022-07-30,23656.20703,30.96461678
2022-07-31,23336.89648,30.40640068
2022-08-01,23314.19922,30.81554985
2022-08-02,22978.11719,29.41304207
2022-08-03,22846.50781,29.11205864
2022-08-04,22630.95703,29.13900375
2022-08-05,23289.31445,30.74950409
2022-08-06,22961.2793,30.41555214
2022-08-07,23175.89063,30.66813087
2022-08-08,23809.48633,31.48546982
2022-08-09,23164.31836,29.90163994
2022-08-10,23947.64258,31.34862137
2022-08-11,23957.5293,30.52724648
2022-08-12,24402.81836,31.21741867
2022-08-13,24424.06836,31.31477165
2022-08-14,24319.33398,30.86851311
2022-08-15,24136.97266,30.90486336
2022-08-16,23883.29102,30.70647049
2022-08-17,23335.99805,30.08518982
2022-08-18,23212.73828,29.92035103
2022-08-19,20877.55273,26.43770218
2022-08-20,21166.06055,26.73244095
2022-08-21,21534.12109,27.72037125
2022-08-22,21398.9082,27.71950912
2022-08-23,21528.08789,27.79137993
2022-08-24,21395.01953,27.56034088
2022-08-25,21600.9043,27.96648407
2022-08-26,20260.01953,25.95645714
2022-08-27,20041.73828,25.80418587
2022-08-28,19616.81445,25.41328049
2022-08-29,20297.99414,27.35210228
2022-08-30,19796.80859,26.5514679
2022-08-31,20049.76367,26.67275238
2022-09-01,20127.14063,26.90262032
2022-09-02,19969.77148,26.29268265
2022-09-03,19832.08789,26.19641304
2022-09-04,19986.71289,26.38751221
2022-09-05,19812.37109,26.60731506
2022-09-06,18837.66797,25.69022369
2022-09-07,19290.32422,26.0044136
2022-09-08,19329.83398,26.0458889
2022-09-09,21381.15234,27.25623512
2022-09-10,21680.53906,27.72219086
2022-09-11,21769.25586,27.85241127
2022-09-12,22370.44922,28.44346237
2022-09-13,20296.70703,25.99339867
2022-09-14,20241.08984,25.50290108
2022-09-15,19701.21094,24.06729317
2022-09-16,19772.58398,24.06205368
2022-09-17,20127.57617,24.64328575
2022-09-18,19419.50586,23.44345665
2022-09-19,19544.12891,24.20957184
2022-09-20,18890.78906,23.34715462
2022-09-21,18547.40039,22.80485725
2022-09-22,19413.55078,23.72374153
2022-09-23,19297.63867,23.88600922
2022-09-24,18937.01172,23.68642235
2022-09-25,18802.09766,23.52565765
2022-09-26,19222.67188,24.2084198
2022-09-27,19110.54688,23.68621635
2022-09-28,19426.7207,24.0842514
2022-09-29,19573.05078,24.31962013
