Datetime,BTC,FTT
2022-11-12T14:00:00.000Z,16882.21094,2.180647135
2022-11-12T15:00:00.000Z,16917.23438,2.146095037
2022-11-12T16:00:00.000Z,16882.5625,2.090224504
2022-11-12T17:00:00.000Z,16881.66992,2.12101984
2022-11-12T18:00:00.000Z,16855.27539,2.108702183
2022-11-12T19:00:00.000Z,16871,2.094845772
2022-11-12T20:00:00.000Z,16816.02734,2.061048031
2022-11-12T21:00:00.000Z,16814.39453,2.083023071
2022-11-12T22:00:00.000Z,16825.42188,2.17537117
2022-11-12T23:00:00.000Z,16798.87891,2.089066505
