Date,BTC,ETH,FTT,SOL,XRP
2021-07-01,33572.11719,2113.605469,26.24949455,33.40403366,0.661180019
2021-07-02,33897.04688,2150.040283,27.31939316,34.02048111,0.656763017
2021-07-03,34668.54688,2226.114258,27.99869728,34.47881699,0.672887981
2021-07-04,35287.78125,2321.724121,27.449049,34.31060028,0.694944978
2021-07-05,33746.00391,2198.58252,25.36885452,32.98458862,0.654299974
2021-07-06,34235.19531,2324.679443,28.81707191,34.26913834,0.665401995
2021-07-07,33855.32813,2315.161865,30.02210236,36.59136963,0.651575029
2021-07-08,32877.37109,2120.026367,28.76109314,33.20372772,0.623058021
2021-07-09,33798.01172,2146.692383,30.22370338,33.26464844,0.636803985
2021-07-10,33520.51953,2111.403564,30.13947105,31.78864479,0.625463009
2021-07-11,34240.1875,2139.664795,30.98484993,32.17784119,0.635935009
2021-07-12,33155.84766,2036.721069,30.55761909,30.84808731,0.630177975
2021-07-13,32702.02539,1940.083984,29.70912552,29.12118912,0.619522989
2021-07-14,32822.34766,1994.331299,28.44390488,31.28100014,0.620324016
2021-07-15,31780.73047,1911.175659,25.88643074,28.45210075,0.596940994
2021-07-16,31421.53906,1880.382935,25.51569557,26.37000847,0.590774
2021-07-17,31533.06836,1898.825195,26.38231087,26.72166824,0.582427979
2021-07-18,31796.81055,1895.552124,26.05461693,26.75190926,0.587921977
2021-07-19,30817.83203,1817.296631,24.90867233,24.44757652,0.557555974
2021-07-20,29807.34766,1787.510742,25.8180542,23.48955536,0.529335976
2021-07-21,32110.69336,1990.970825,28.13120079,26.6230793,0.569998026
2021-07-22,32313.10547,2025.202759,28.77981567,27.70208168,0.592206001
2021-07-23,33581.55078,2124.776611,29.5694561,28.51387978,0.609224021
2021-07-24,34292.44531,2189.21875,30.24984741,28.70261955,0.609826982
2021-07-25,35350.1875,2191.373779,30.43120575,28.16877365,0.606356978
2021-07-26,37337.53516,2233.366699,29.80656433,28.30664253,0.625617981
2021-07-27,39406.94141,2298.333496,31.15166092,28.06532669,0.644604027
2021-07-28,39995.90625,2296.54541,31.92518234,27.81541061,0.725444973
2021-07-29,40008.42188,2380.956787,32.59879684,31.28113747,0.748017013
2021-07-30,42235.54688,2466.961426,35.03664017,32.39394379,0.752119005
2021-07-31,41626.19531,2536.209961,35.30597687,36.82731247,0.747785985
2021-08-01,39974.89453,2561.852051,35.03957367,34.2543602,0.725921988
2021-08-02,39201.94531,2610.15332,35.62760925,33.22241974,0.739220023
2021-08-03,38152.98047,2502.349609,35.91445541,33.99644089,0.712728977
2021-08-04,39747.50391,2724.619873,37.74977112,35.7636261,0.730488002
2021-08-05,40869.55469,2827.328857,39.91483688,37.35513687,0.733151019
2021-08-06,42816.5,2890.94165,41.18862915,39.44610214,0.746513009
2021-08-07,44555.80078,3157.23877,44.68804932,39.4034729,0.816281021
2021-08-08,43798.11719,3013.732666,43.56703949,37.67382431,0.778738976
2021-08-09,46365.40234,3167.856201,48.8922348,38.76778412,0.818552971
2021-08-10,45585.03125,3141.691162,48.91669846,40.63979721,0.851247013
2021-08-11,45593.63672,3164.245117,50.54524231,41.74411392,1.012524009
2021-08-12,44428.28906,3043.414307,49.20114517,41.09936142,0.964549005
2021-08-13,47793.32031,3322.21167,50.58755493,44.89450073,1.089959979
2021-08-14,47096.94531,3265.443359,50.19782639,44.11285019,1.280411959
2021-08-15,47047.00391,3310.50415,51.47411346,53.74515915,1.288159966
2021-08-16,46004.48438,3156.509521,47.23496246,62.4324646,1.190992951
2021-08-17,44695.35938,3014.845947,44.76494598,64.21070862,1.09819901
2021-08-18,44801.1875,3020.089844,46.7904129,72.54331207,1.146096945
2021-08-19,46717.57813,3182.702148,49.74725723,72.75760651,1.232841969
2021-08-20,49339.17578,3286.935303,50.34009171,78.724617,1.263221979
2021-08-21,48905.49219,3226.083984,51.29240417,73.75621033,1.216472983
2021-08-22,49321.65234,3242.115479,50.31187057,72.80391693,1.227722049
2021-08-23,49546.14844,3319.257324,50.6747818,75.70803833,1.247269988
2021-08-24,47706.11719,3172.456299,47.46123123,70.67090607,1.13735199
2021-08-25,48960.78906,3224.915283,49.54920578,71.9515686,1.172528982
2021-08-26,46942.21875,3100.325439,45.90153503,75.31620789,1.075266004
2021-08-27,49058.66797,3270.60083,49.47063828,88.08698273,1.188472986
