Date,ADA,AVAX,BNB,BTC,DOGE,DOT,ETH,FTT,MATIC,SOL,XRP
2021-11-11,2.085524082,88.0613327,629.892334,64949.96094,0.26116699,47.64762497,4730.384277,59.36059952,1.759541035,234.2407532,1.218364
2021-11-12,2.045766115,84.72491455,626.6425171,64155.94141,0.259413987,45.88080597,4667.115234,58.03027344,1.71570003,228.5020905,1.189355016
2021-11-13,2.053103924,97.26046753,650.104126,64469.52734,0.261705995,47.12905502,4651.460449,55.77125549,1.754876971,241.8250275,1.191938043
2021-11-14,2.040853024,95.40354156,650.9180908,65466.83984,0.262912005,46.40182114,4626.358887,55.98162079,1.729668021,238.4255219,1.188596964
2021-11-15,2.015587091,93.55023193,633.048645,63557.87109,0.256529003,44.68871689,4557.503906,54.87371445,1.691723943,237.5536041,1.171370983
2021-11-16,1.877235055,97.97557068,589.822876,60161.24609,0.237249002,40.89931488,4216.365234,50.37514496,1.562981963,219.2390289,1.090934038
2021-11-17,1.875540018,107.8020782,578.0927734,60368.01172,0.237487003,42.70829391,4287.59375,51.54854965,1.634735942,218.7152405,1.096290946
2021-11-18,1.788331032,100.2527695,532.2376099,56942.13672,0.221383005,39.0459671,4000.650879,50.38106537,1.498249054,195.4874115,1.041954041
2021-11-19,1.864792943,112.0235596,581.5308228,58119.57813,0.233109996,41.26102066,4298.306641,52.48077011,1.617964983,215.280014,1.091492057
2021-11-20,1.921736002,125.7706299,603.8400269,59697.19531,0.233024001,42.06042862,4409.931152,53.38624573,1.664690971,218.015274,1.097645998
2021-11-21,1.839763045,128.599823,585.2942505,58730.47656,0.226328,42.00570679,4269.73291,51.90529251,1.602403045,231.2826233,1.060173035
2021-11-22,1.776554942,134.5310364,559.1270142,56289.28906,0.219676003,39.44787216,4088.457764,49.41732788,1.558411956,215.7372742,1.036622047
2021-11-23,1.750502944,123.8310471,591.4395752,57569.07422,0.226512,40.79104233,4340.763672,50.55205536,1.753211021,221.8368988,1.067057014
2021-11-24,1.686422944,120.2281876,581.3953247,56280.42578,0.221825004,39.3694191,4239.981445,49.37354279,1.680279016,214.9215393,1.042075038
2021-11-25,1.651345015,122.6485291,603.7302246,57274.67969,0.216325998,38.45594788,4274.743164,50.38048935,1.787088037,206.2529907,1.031888008
2021-11-26,1.528419971,103.8295822,585.1473389,53569.76563,0.200886995,34.38590622,4030.908936,47.41309357,1.631860971,191.5117493,0.936349988
