Date,ADA,BNB,BTC,DOGE,DOT,ETH,MATIC,SHIB-USD,SOL,XRP
18/12/2021,1.242534041,533.8913574,46848.77734,0.172399998,25.49075699,3960.860107,2.231473923,3.10E-05,182.8351288,0.827378988
19/12/2021,1.244660974,529.9720459,46707.01563,0.169576004,24.79140091,3922.592529,2.222235918,3.10E-05,180.098053,0.835033
20/12/2021,1.238240004,523.1624756,46880.27734,0.167321995,24.05067444,3933.844482,2.127742052,3.10E-05,173.6717834,0.879827976
21/12/2021,1.280858994,528.7109985,48936.61328,0.171175003,25.19419479,4020.26001,2.375984907,3.30E-05,180.0925446,0.947646022
22/12/2021,1.328040957,533.6449585,48628.51172,0.173214003,27.21607399,3982.099609,2.501101017,3.50E-05,178.5971222,0.95469898
23/12/2021,1.474691033,548.7258301,50784.53906,0.184489995,29.11109352,4108.015625,2.679162979,3.90E-05,190.0363159,0.993285
24/12/2021,1.392367005,541.9020386,50822.19531,0.186621994,28.13949776,4047.98291,2.467272997,3.60E-05,190.2731934,0.912047029
25/12/2021,1.453495026,547.3262329,50429.85938,0.190657005,28.83775711,4093.281006,2.636827946,3.80E-05,193.1209259,0.924818993
26/12/2021,1.456045032,546.9949951,50809.51563,0.190019995,31.33283615,4067.328125,2.876756907,3.80E-05,198.0007324,0.92118001
27/12/2021,1.512912989,562.6414795,50640.41797,0.187704995,30.90867233,4037.547607,2.725954056,3.90E-05,195.4295044,0.926183999
28/12/2021,1.402263999,534.9280396,47588.85547,0.174116999,27.90710258,3800.893066,2.4982059,3.50E-05,177.4256287,0.852959991
29/12/2021,1.330814004,514.0007935,46444.71094,0.167765006,26.74437332,3628.531738,2.470005989,3.40E-05,170.6575623,0.816713989
30/12/2021,1.360414982,518.909729,47178.125,0.171313003,27.56778908,3713.852051,2.55775094,3.40E-05,172.7511902,0.839649022
31/12/2021,1.310209036,511.708313,46306.44531,0.170496002,26.71967506,3682.632813,2.527107,3.30E-05,170.2990723,0.831162989
01/01/2022,1.37697506,527.3527222,47686.8125,0.173034996,28.58358192,3769.697021,2.574790955,3.40E-05,178.5179443,0.849471986
02/01/2022,1.377583981,531.3966675,47345.21875,0.174402997,29.73116684,3829.564941,2.549190044,3.40E-05,176.382843,0.859117985
