Date,BTC-USD,ETH-USD,FTT-USD,SOL-USD,XRP-USD
24/02/2022,38332.60938,2598.067139,41.27014542,89.19474792,0.696272016
25/02/2022,39214.21875,2764.535645,43.05149841,92.59882355,0.768903017
26/02/2022,39105.14844,2781.111816,43.3238678,90.14156342,0.750972986
27/02/2022,37709.78516,2621.801758,41.57076263,85.5190506,0.721992016
28/02/2022,43193.23438,2919.201172,45.97260284,99.5203476,0.782043993
01/03/2022,44354.63672,2972.485107,46.23248672,98.65355682,0.784861982
02/03/2022,43924.11719,2950.118408,46.21814728,100.6496353,0.768495977
03/03/2022,42451.78906,2834.468994,44.87667084,95.53919983,0.752184987
04/03/2022,39137.60547,2617.156006,40.44295883,88.24597931,0.712671995
05/03/2022,39400.58594,2664.831055,41.15986252,89.64784241,0.754899979
06/03/2022,38419.98438,2555.037354,39.81920242,84.54218292,0.725993991
07/03/2022,38062.03906,2497.77124,39.83638382,82.13006592,0.723286986
08/03/2022,38737.26953,2576.747559,40.55521774,82.25476074,0.720977008
09/03/2022,41982.92578,2729.783447,42.83615494,88.20206451,0.767235994
10/03/2022,39437.46094,2608.048584,40.77854156,82.93908691,0.737465024
11/03/2022,38794.97266,2559.562988,40.86930847,80.74499512,0.802155018
12/03/2022,38904.01172,2574.75415,41.05287933,81.55381775,0.786587
13/03/2022,37849.66406,2518.94458,39.95965195,78.9360733,0.761350989
14/03/2022,39666.75391,2590.696045,41.50074768,81.17333984,0.774655998
15/03/2022,39338.78516,2620.149658,41.0680275,82.95508575,0.766782999
16/03/2022,41143.92969,2772.055664,42.7516098,87.90362549,0.793537974
17/03/2022,40951.37891,2814.854492,43.10668564,87.87684631,0.793502986
18/03/2022,41801.15625,2945.343018,44.6448555,89.82203674,0.798265994
19/03/2022,42190.65234,2946.25708,44.89141846,92.41815186,0.819373012
20/03/2022,41247.82422,2860.459229,44.01049042,88.61486053,0.806120992
21/03/2022,41077.99609,2897.976563,44.77135849,88.75720215,0.838151991
22/03/2022,42358.80859,2973.131104,45.31536865,90.51296997,0.837096989
23/03/2022,42892.95703,3031.067139,46.20652771,95.10268402,0.837886989
24/03/2022,43960.93359,3108.062012,49.44827271,102.2236938,0.842967987
25/03/2022,44348.73047,3106.671387,49.75099564,98.65810394,0.825127006
26/03/2022,44500.82813,3143.178955,49.91953659,101.764183,0.832772017
27/03/2022,46820.49219,3291.577637,51.96204758,107.0842209,0.857343018
28/03/2022,47128.00391,3336.634521,51.72575378,106.4652557,0.863304019
29/03/2022,47465.73047,3401.987793,51.09607315,111.7103119,0.85799998
30/03/2022,47062.66406,3385.157959,51.16405487,120.6994858,0.860813975
31/03/2022,45538.67578,3281.642822,48.88536835,122.6614609,0.81456399
01/04/2022,46281.64453,3449.552246,50.49321365,134.4309387,0.827740014
02/04/2022,45868.94922,3445.059326,49.72848511,132.1988678,0.824918985
03/04/2022,46453.56641,3522.833496,50.45622635,136.7753296,0.842949986
04/04/2022,46622.67578,3521.241211,50.13238144,132.4126282,0.827251017
05/04/2022,45555.99219,3411.79248,48.5684967,126.862236,0.817641973
06/04/2022,43206.73828,3171.691895,45.09887314,112.8833847,0.761313975
07/04/2022,43503.84766,3233.274658,45.63444519,118.7965164,0.787999988
08/04/2022,42287.66406,3192.073975,44.72621536,109.8008804,0.754055977
09/04/2022,42782.13672,3261.91626,45.6590004,112.9727936,0.763584971
10/04/2022,42207.67188,3211.866943,45.11608124,111.7424393,0.756614029
11/04/2022,39521.90234,2981.052246,41.41772842,99.3391037,0.695023
12/04/2022,40127.18359,3030.376465,41.82501984,103.3063889,0.716614008
13/04/2022,41166.73047,3118.344238,42.88591766,105.0019455,0.723850012
14/04/2022,39935.51563,3019.909424,41.71937561,100.7078018,0.726818979
15/04/2022,40553.46484,3040.916504,42.60456085,101.3097763,0.785674989
16/04/2022,40424.48438,3062.310303,41.85102081,102.2573166,0.78184098
17/04/2022,39716.95313,2993.40332,44.83160019,100.4096985,0.75315398
18/04/2022,40826.21484,3057.606689,43.40010452,102.1585312,0.768016994
19/04/2022,41502.75,3104.106445,43.53013611,108.5820313,0.775062978
20/04/2022,41374.37891,3077.74585,42.79143143,105.4970016,0.752178013
21/04/2022,40527.36328,2987.480713,42.17320251,101.7761383,0.73317802
22/04/2022,39740.32031,2964.835693,41.41786957,100.6120529,0.719193995
23/04/2022,39486.73047,2938.114014,41.12346649,100.7444382,0.707705021
24/04/2022,39469.29297,2922.732666,40.79900742,99.23579407,0.698738992
25/04/2022,40458.30859,3009.393555,41.8993721,101.2476349,0.694426
26/04/2022,38117.46094,2808.29834,38.67948532,95.78215027,0.641699016
27/04/2022,39241.12109,2888.929688,39.602005,98.3788681,0.652318001
28/04/2022,39773.82813,2936.940918,40.25321198,98.18572998,0.644362986
29/04/2022,38609.82422,2815.601807,38.78173065,94.01134491,0.611406982
30/04/2022,37714.875,2730.186768,38.00925827,85.09593201,0.587091029
01/05/2022,38469.09375,2827.756104,39.1348114,89.67150879,0.607843995
02/05/2022,38529.32813,2857.4104,39.06038666,87.58101654,0.614269018
03/05/2022,37750.45313,2783.476318,37.80875778,85.84237671,0.604848981
04/05/2022,39698.37109,2940.644775,39.56329727,92.77085114,0.646474004
05/05/2022,36575.14063,2749.213135,36.23539352,84.59602356,0.598886013
06/05/2022,36040.92188,2694.979736,35.90779877,81.76410675,0.602569997
07/05/2022,35501.95313,2636.093018,35.11285019,78.98342133,0.582346976
08/05/2022,34059.26563,2517.459961,33.84153366,75.22018433,0.566527009
09/05/2022,30296.95313,2245.43042,30.53663254,63.26965332,0.492940009
10/05/2022,31022.90625,2343.510986,33.13322067,66.76615143,0.513625979
11/05/2022,28936.35547,2072.108643,29.71458817,50.21084976,0.413376004
12/05/2022,29047.75195,1961.701538,29.72385216,44.68358994,0.385206014
13/05/2022,29283.10352,2014.418213,30.8253479,48.59355164,0.423417002
14/05/2022,30101.26563,2056.273926,31.59646416,52.41722488,0.427774012
15/05/2022,31305.11328,2145.706787,32.6455307,58.81126022,0.447371006
16/05/2022,29862.91797,2022.725952,31.87615967,53.64646149,0.422499001
17/05/2022,30425.85742,2090.40918,32.03872299,57.12562561,0.437622994
18/05/2022,28720.27148,1916.656128,29.69733429,49.75621033,0.406165987
19/05/2022,30314.33398,2018.336182,30.92023659,52.21397781,0.419975996
20/05/2022,29200.74023,1961.315674,29.77707863,49.53850937,0.411137015
21/05/2022,29432.22656,1974.518311,30.08843422,50.31798172,0.414673001
22/05/2022,30323.72266,2043.170166,30.79744148,52.75518036,0.422336996
23/05/2022,29098.91016,1972.181885,29.67707634,49.05685043,0.404671013
24/05/2022,29655.58594,1978.982788,29.82635689,49.65333557,0.408713013
25/05/2022,29562.36133,1944.827881,29.01169395,47.98242569,0.405784994
26/05/2022,29267.22461,1803.91333,27.59775352,43.49121094,0.393169999
27/05/2022,28627.57422,1724.922852,26.39837456,40.98134613,0.381787002
28/05/2022,28814.90039,1757.941772,27.10719299,44.34316254,0.386323005
29/05/2022,29445.95703,1812.031006,27.26719093,44.90961456,0.389016002
30/05/2022,31726.39063,1996.441284,29.16701126,47.17944336,0.418175012
31/05/2022,31792.31055,1942.328003,28.95060539,45.76784134,0.421867013
01/06/2022,29799.08008,1823.569336,26.90548515,40.26966858,0.398084998
02/06/2022,30467.48828,1834.150513,27.13927078,40.89134598,0.405301988
03/06/2022,29704.39063,1775.078613,25.99463272,38.25922012,0.390765995
04/06/2022,29832.91406,1801.609497,25.97548485,38.93144608,0.39230901
05/06/2022,29906.66211,1805.204956,26.13372993,38.4805336,0.39537999
06/06/2022,31370.67188,1859.289673,27.36559868,42.43313217,0.403010994
07/06/2022,31155.47852,1814.04834,27.06485367,39.43757248,0.407701999
08/06/2022,30214.35547,1793.572266,28.1297226,38.84336853,0.400647998
09/06/2022,30111.99805,1789.82605,28.53532982,39.97260666,0.400323987
10/06/2022,29083.80469,1665.042236,27.5845089,37.08976746,0.38173601
11/06/2022,28360.81055,1529.663452,27.39906311,33.8211174,0.359025002
12/06/2022,26762.64844,1445.216553,28.09258461,30.74327087,0.345490009
13/06/2022,22487.38867,1204.582764,24.44530106,28.19236183,0.310802013
14/06/2022,22206.79297,1211.662842,24.02503395,29.71461868,0.322142988
15/06/2022,22572.83984,1233.206421,25.49200821,34.48794174,0.343703002
16/06/2022,20381.65039,1067.730713,23.262043,29.98974228,0.312056005
17/06/2022,20471.48242,1086.519287,24.35045815,30.74291992,0.321381003
18/06/2022,19017.64258,993.6367798,22.83035469,31.80793571,0.308090001
19/06/2022,20553.27148,1127.656494,25.03437805,34.24374771,0.326052994
20/06/2022,20599.53711,1127.642456,26.70549965,35.41711426,0.323345989
21/06/2022,20710.59766,1124.824585,27.33817673,36.1211586,0.328626007
22/06/2022,19987.0293,1051.421875,25.20549011,34.12163544,0.322584987
23/06/2022,21085.87695,1143.386719,26.3312645,38.17523193,0.335530996
24/06/2022,21231.65625,1226.844727,26.73080444,42.21204758,0.367587
25/06/2022,21502.33789,1243.446899,27.92702675,42.33281326,0.367556006
26/06/2022,21027.29492,1199.831665,27.15359879,39.40808868,0.358864009
27/06/2022,20735.47852,1193.680664,27.16296005,38.45125198,0.353235006
28/06/2022,20280.63477,1144.579224,25.63458061,35.3264389,0.337329
29/06/2022,20104.02344,1098.943848,24.82902145,33.87390137,0.328978002
30/06/2022,19784.72656,1067.298828,24.53266144,33.58841705,0.331447989
01/07/2022,19269.36719,1059.767334,24.55630875,32.80307007,0.313677013
02/07/2022,19242.25586,1066.512817,24.62620163,33.35940933,0.315578997
03/07/2022,19297.07617,1073.766968,24.37348175,33.38593292,0.321702987
04/07/2022,20231.26172,1151.059082,25.92241669,36.78503036,0.328790009
05/07/2022,20190.11523,1134.541016,25.19189262,35.39555359,0.325423002
06/07/2022,20548.24609,1186.973999,26.26527214,37.07356262,0.332271993
07/07/2022,21637.58789,1237.593384,27.45919037,38.51830673,0.342150986
08/07/2022,21731.11719,1222.506226,27.46585083,38.28672028,0.341627985
09/07/2022,21592.20703,1216.978271,27.13601494,38.07196045,0.344951987
10/07/2022,20860.44922,1168.401611,25.89983368,36.69760895,0.325663
11/07/2022,19970.55664,1097.236572,24.99665451,33.46360016,0.314296991
12/07/2022,19323.91406,1038.19165,23.88285637,32.75759506,0.311659008
13/07/2022,20212.07422,1113.587158,24.96725273,34.91093826,0.323729992
14/07/2022,20569.91992,1191.526245,25.85254478,37.10782242,0.333220989
15/07/2022,20836.32813,1233.12915,26.78756142,37.41592789,0.334535003
16/07/2022,21190.31641,1352.626465,27.96962166,39.57412338,0.350861013
17/07/2022,20779.34375,1338.635742,27.60633278,38.64472198,0.343412012
18/07/2022,22485.68945,1578.717896,29.96655655,43.7461586,0.366176993
19/07/2022,23389.43359,1542.97522,29.12787247,44.89987564,0.373225003
20/07/2022,23231.73242,1520.200684,28.78352737,42.09366989,0.360484004
21/07/2022,23164.62891,1576.749512,29.50235558,43.19059372,0.367036015
22/07/2022,22714.97852,1537.405151,28.97725868,40.61850357,0.358604014
23/07/2022,22465.47852,1549.297485,28.53791237,40.04097748,0.359540999
24/07/2022,22609.16406,1599.476685,29.14460754,41.00658417,0.359259993
25/07/2022,21361.70117,1445.383423,27.11045456,36.71199799,0.337314993
26/07/2022,21239.75391,1441.806763,27.02528954,36.19085312,0.337816
27/07/2022,22930.54883,1636.232666,29.39860153,40.30784988,0.359118015
28/07/2022,23843.88672,1725.46814,30.24714279,42.84526825,0.373376012
29/07/2022,23804.63281,1727.406982,31.13344383,41.92699814,0.368674994
30/07/2022,23656.20703,1695.969482,30.96461678,43.75588989,0.387764007
31/07/2022,23336.89648,1681.517334,30.40640068,42.4002037,0.380457997
01/08/2022,23314.19922,1635.195801,30.81554985,41.78648376,0.379976004
02/08/2022,22978.11719,1632.945435,29.41304207,39.75450516,0.37202099
03/08/2022,22846.50781,1618.874512,29.11205864,38.54441833,0.369852006
04/08/2022,22630.95703,1608.205811,29.13900375,38.83067322,0.371351004
05/08/2022,23289.31445,1732.254639,30.74950409,40.56103134,0.37659499
06/08/2022,22961.2793,1691.658081,30.41555214,40.05700684,0.371571004
07/08/2022,23175.89063,1699.35083,30.66813087,40.60559082,0.372505993
